welfare_id,welfare_service_name,welfare_dept_name,welfare_target_detail,welfare_crit,welfare_service_content,welfare_howto,welfare_contact,welfare_phone,welfare_site_name,welfare_site_link,welfare_purpose,welfare_family,welfare_target,welfare_life
WLF00004650,청소년성문화센터설치운영,여성가족부 아동청소년성보호과,"유치원, 초/중/고등학생 및 교사, 학부모 등에게 지원합니다.","
                                   
                                   
                                   
                                   
선정기준은 지원대상의 내용을 참고해주시기 바랍니다.
                                   
                                   
","대상 및연령에 맞춘전문 성교육을 실시하며, 유치원이나 학교 등 찾아가는 성교육도 실시합니다.","거주지 읍/면/동 주민센터, 지역별 청소년성문화센터에서 ‘서비스 신청’",광진구청소년성문화센터,02-2204-3170,광진구청소년성문화센터,www.seekle.or.kr,9,12,5,"아동, 청소년"
WLF00004656,첫만남이용권,보건복지부 출산정책과,"2022년 1월 1일 이후 출생아로서 출생 신고되어 정상적으로 주민등록번호를 부여받은 아동을 지원합니다.
만 0세의 영유아를 대상으로 합니다.","



선정기준은 위의 내용과동일하므로 지원대상을 참고해주시기 바랍니다.

","지급방식은 국민행복카드 이용권(포인트) 지급을 원칙으로 하며 부득이한 경우 예외를 인정하여 현금으로 지급합니다. 

바우처 신청 시 등록한 1개 카드사의 국민행복카드에 이용권(포인트)을 지급하는 방식으로 임신출산 진료비 수급 등을 위해 국민행복카드를 보유하고 있는 경우에는 기존 카드에 지급할 수 있습니다.
예외적으로 현금지급하는 경우는 다음과 같습니다.
  수급 아동이 아동양육시설, 또는 공동생활가정에서 보호조치되고 있는 경우로 지자체(또는 시설)에서 출생신고가 이루어지는 아동: 디딤씨앗통장으로 지급 가능 
  ※ 아동양육시설과 공동생활가정은「아동복지법」 제52조제1항1호, 4호에 따름
  * 가정위탁 보호 아동:보호자인 위탁 부모(또는 예비 양부모)의 국민행복카드로 첫만남이용권 지급(아동명의의 디딤씨앗통장으로 지급 희망 시, 해당 계좌로 입금 가능)  출생아의 보호자가 수형자로 수형시설 내 양육으로 수감 기간동안 신청한 경우: 아동복지심의위원회의 심의를 거쳐 그 보호자 명의의 통장으로 입금 가능","거주지 읍/면/동 주민센터, 복지로, 정부24에서 온라인으로 신청, 읍면동 행정복지센터(주민센터)  또는 복지로 웹사이트(PC/모바일앱)에서 ‘서비스 신청’",보건복지상담센터,129,보건복지상담센터,http://www.129.go.kr,9,12,5,"임신 · 출산, 영유아"
WLF00004657,영아수당 지원,보건복지부 보육사업기획과,최대 24개월 미만의 영유아를 지원합니다.,"



2022년 출생아부터 어린이집 등을 이용하지 않고 가정에서 양육하는 0~1세 영유아에게 지원하며 소득인정액 기준은 없습니다.※ 가정양육하는 아동의 경우 만 2세부터는 가정양육수당을 지원합니다.

","월 30만원을 현금으로 지급합니다.* 단, 보육료, 종일제 아이돌봄서비스 중 1가지 서비스만 받을 수있으며 동시 지원은 불가합니다.","거주지 읍/면/동 주민센터, 읍면동 행정복지센터(주민센터) 혹은 웹사이트 복지로 또는 복지로 웹사이트(PC/모바일앱)에서 ‘서비스 신청’",보건복지상담센터,129,복지로,http://www.bokjiro.go.kr,9,12,5,영유아
WLF00003169,정신건강복지센터운영(아동청소년정신건강증진사업 포함),보건복지부,"중증 정신질환자를 비롯한 다음의 아동ㆍ청소년 및 정신건강 관계자는 해당 지역 정신건강복지센터를 방문하여 지원을 신청할 수 있습니다.

아동청소년 정신건강증진사업 대상자

- 지역 사회 내 만18세 이하 아동청소년(미취학 아동포함)
- 지역사회 내 취약계층(북한이탈 주민, 다문화가정, 조손가정, 한부모가정)아동청소년
- 청소년쉼터(가출청소년 일시 보호소) 청소년, 공동생활 가정, 아동복지시설의 아동청소년 등
- 부모, 교사, 시설 종사자 등 아동ㆍ청소년 정신건강 관계자","
                                   
                                   
                                   
                                   
선정기준은 지원대상의 내용을 참고해주시기 바랍니다.
                                   
                                   
","지역별 정신건강복지센터는 다음과 같습니다.

광역 정신건강복지센터: 서울, 부산, 대구, 인천, 광주, 대전, 울산, 경기, 강원, 충북, 충남, 전북, 전남, 경북, 경남, 제주에 각 1개소 운영
기초 정신건강복지센터: 인구 20만 미만 시/군/구의 경우 1개소, 인구 20만 이상 시/군/구의 경우 2개소 이상 설치 가능하며, 추가 설치 기준은 인구 20만명 당 1개소(적용 예시: 40만명 2개소까지, 60만명 3개소까지 설치 가능)


저소득층(생계의료주거교육급여 수급자 혹은 차상위계층 등) 가정의 아동청소년일 경우, 예산의 범위 내에서 확진을 위한 검사 비용 등을 보조합니다.
그 밖에도 상담과 사례 관리 등 정신건강 사례관리 서비스를 받을 수 있습니다.","거주지 읍/면/동 주민센터, 에서 ‘서비스 신청’",한국자살예방협회,,한국자살예방협회,http://www.suicideprevention.or.kr/,9,12,5,6
WLF00003170,장애인 창업점포 지원사업,중소벤처기업부,장애인 예비 창업자 및 업종전환자를 대상으로 지원합니다.,"


사업계획 적절성, 예산 집행 적절성, 사업성을 평가해 선정합니다.




","장애인이 창업시 점포 임대보증금을 5년 기간이내, 1억 3천만원 한도에서 대여하는 방식으로 지원합니다.","거주지 읍/면/동 주민센터, (재)장애인기업종합지원센터에서 ‘서비스 신청’",장애인기업종합지원센터 문의전화,02-2181-6500,장애인기업종합지원센터 문의전화,www.debc.or.kr,9,12,5,6
WLF00003175,결혼이민자 통번역 서비스,여성가족부,한국말이 서툰 결혼이민자의 가족사회생활에 필요한 의사소통을 지원하기 위한 다문화가족 및 다문화가족을 직간접적으로 지원하는 개인 또는 기관을 지원합니다.,"
                                   
                                   
                                   
                                   
선정기준은 지원대상의 내용을 참고해주시기 바랍니다.
                                   
                                   
","결혼 이민자의 주요 출신국 언어로 결혼이민자의 가족사회생활에 필요한 의사소통을 지원하기 위한 통역과 번역 서비스를 제공합니다.
* 제공언어 : 결혼이민자 주요 출신국 언어(베트남어, 중국어, 필리핀어, 몽골어, 태국어, 러시아어, 캄보디아어, 일본어, 네팔어 등)
다문화가족 입국초기상담, 통역 및 번역지원, 가족 간 의사소통 및 생활상담을 제공합니다.
행정ㆍ사법기관ㆍ공공기관 이용 시, 통ㆍ번역 위기 상황 시 긴급지원을 제공합니다.","거주지 읍/면/동 주민센터, 에서 ‘서비스 신청’",다누리콜센터,1577-1366,다누리콜센터,http://www.liveinkorea.kr/,9,12,5,6
WLF00003178,긴급복지 해산비지원,보건복지부 기초생활보장과,"긴급지원(주급여)을 받는 가구 중 가구 구성원이 출산(출산 예정도 포함)한 경우에 지원합니다.
조산 및 분만 후의 필요한 조치와 보호를 위한 지원합니다.
위기 사유란 구체적으로 다음과 같은 경우를 말합니다. 

주소득자가 사망, 가출, 행방불명, 구금시설에 수용되는 등의 사유로 소득을 상실한 경우
중한 질병이나 부상을 당한 경우
가구구성원으로부터 방임 또는 유기되거나 학대 등을 당한 경우
가정폭력 또는 가구 구성원으로부터 성폭력을 당한 경우
화재 또는 자연재해 등으로 인하여 거주하는 주택 또는 건물에서 생활하기 곤란한 경우
주소득자 또는 부소득자의 휴업, 폐업 또는 사업장의 화재 등으로 인하여 실질적인 영업이 곤란하게 된 경우
주소득자 또는 부소득자의 실직으로 소득을 상실한 경우
보건복지부령으로 정하는 기준에 따라 지방자치단체의 조례로 정한 사유가 발생한 경우

그 밖에 보건복지부 장관이 정하여 고시하는 경우는 다음과 같습니다. 

주 소득자와 이혼한 때
단전된 때 (전류 제한기를 부설한 경우 포함)
교정시설에서 출소한 자가 생계가 곤란한 경우
가족으로부터 방임유기 또는 생계 곤란 등으로 노숙을 하는 경우
복지사각지대 발굴대상자, 통합사례관리 대상자 또는 자살고위험군으로서 관련 부서(기관)로 부터 생계가 어렵다고 추천을 받은 경우
(한시) 코로나19로 인하여 주소득자 또는 부소득자가 무급휴직 등으로 소득을 상실한 경우
(한시) 코로나19로 인하여 자영업자, 특수형태 근로종사자, 프리랜서인 주소득자 또는 부소득자의 소득이 급격히 감소한 경우","



소득 기준은 기준 중위소득 75%(1인 기준 1,459,000원, 4인 기준 3,841,000원) 이하일 경우 선정합니다.
재산* 기준은 다음과 같습니다. * (재산의 의미) 일반재산 + 금융재산 + 보험, 청약저축, 주택청약 종합저축 - 부채

대도시: 2억 4,100만원
중소도시: 1억 5,200만원
농어촌:
1억 3,000만원 이하

금융 재산 기준은 800만원 이하일 경우에 지원합니다.

",해산비로 70만원(쌍둥이는 140만원)을 지원합니다.,"거주지 읍/면/동 주민센터, 시군구에서 ‘서비스 신청’",보건복지부 콜센터,129,보건복지부 콜센터,http://www.129.go.kr,9,12,5,6
WLF00003179,긴급복지 의료지원,보건복지부 기초생활보장과,수술 또는 입원이 필요한 중한 질병 또는 부상으로 인하여 발생한 의료비를 감당하기 곤란한 사람(지원 요청 후 사망한 자 포함)에게 지원합니다.,"



소득 기준은 기준 중위소득 75%(1인기준 1,458,000원, 4인기준 3,841,000원) 이하일 경우 선정합니다.
재산 기준은 다음과 같습니다.
*(재산의 의미) 일반재산 + 금융재산 + 보험, 청약저축, 주택청약 종합저축 - 부채 

대도시: 2억 4,100만원 이하
중소도시: 1억 5,200만원 이하
농어촌: 1억 3,000만원 이하

금융 재산 기준은 600만원 이하(단, 주거지원은 800만원 이하)일 경우에 지원합니다.

","300만원의 범위 내에서 의료기관 등이 긴급지원대상자에게 제공한 의료서비스 비용 중 약제비, 본인부담금 및 비급여 항목을 지원합니다.(다만, 비급여 입원료와 비급여 식대, 비급여 도수치료비 항목에 대하여는 지원하지 않음)
 ※ 입원 또는 그에 준하는 정도의 질병 또는 부상에 따른 입원진료 및 당일 외래수술 지원(수술에 준하는 시술 포함, 당일 외래진료는 입원 및 수술진료와 연계되는 경우에 한하여 인정) ※ 간병비, 의료기구 구입비, 도수치료비, 제증명료, 보호자 식대는 의료지원 항목에 포함되지 않음
지원이 결정된 질병에 대한 입원에서 퇴원까지 검사, 치료에 소요된 비용을 지원하되 퇴원 전에 긴급 의료지원을 요청해야 지원 가능합니다.","거주지 읍/면/동 주민센터, 시군구에서 ‘서비스 신청’",보건복지부 콜센터,129,보건복지부 콜센터,http://www.129.go.kr,9,12,5,6
WLF00003180,긴급복지 생계지원,보건복지부 기초생활보장과,"지원 대상은 아래와 같습니다. 

주소득자(主所得者)가 사망, 가출, 행방불명, 구금시설에 수용되는 등의 사유로 소득을 상실한 경우
중한 질병이나 부상을 당한 경우
가구구성원으로부터 방임(放任) 또는 유기(遺棄)되거나 학대 등을 당한 경우
가구 구성원으로부터 가정 폭력 또는 성폭력을 당한 경우
화재 또는 자연재해 등으로 거주하고 있는 주택이나 건물에서 생활하기 곤란한 경우
주소득자 또는 부소득자의 휴업, 폐업 또는 사업장의 화재 등으로 인하여 실질적인 영업이 곤란하게 된 경우
주소득자 또는 부소득자의 실직으로 소득을 상실한 경우
보건복지부령으로 정하는 기준에 따라 지방자치 단체의 조례로 정한 사유가 발생한 경우
그 밖에 보건복지부 장관이 정하여 고시하는 경우

그 밖에 보건복지부 장관이 정하여 고시하는 경우는 다음과 같습니다. 

주 소득자와 이혼한 때
단전된 경우(전류 제한기를 부설한 경우 포함)
교정시설에서 출소한 자가 생계가 곤란한 경우
가족으로부터 방임(放任)유기(遺棄) 또는 생계곤란 등으로 노숙을 하는 경우
복지사각지대 발굴대상자, 통합사례관리 대상자 또는 자살고위험군으로서 관련 부서(기관)로 부터 생계가 어렵다고 추천을 받은 경우
(한시) 코로나19로 인하여 주소득자 또는 부소득자가 무급휴직 등으로 소득을 상실한 경우
(한시) 코로나19로 인하여 자영업자, 특수형태 근로종사자 또는 프리랜서인 주소득자 또는 부소득자의 소득이 급격히 감소한 경우","



소득 기준은 기준 중위소득 75%(1인기준 1,459,000원, 4인기준 3,841,000원) 이하일 경우 선정합니다.
재산*기준은 다음과 같습니다. 
*(재산의 의미) 일반재산 + 금융재산 + 보험, 청약저축, 주택청약 종합저축 - 부채 

대도시: 2억 4,100만원 이하
중소도시: 1억 5,200만원 이하
농어촌: 1억 3,000만원 이하

금융 재산 기준은 600만원 이하(단, 주거지원은 800만원 이하)일 경우에 지원합니다.

","가구의 인원 수에 따라 현금으로 지급합니다. 

1인 가구: 488,800원
2인 가족: 826,000원
3인 가족: 1,066,000원
4인 가족: 1,304,900원
5인 가족: 1,541,600원
6인 가족: 1,773,700원
 * 가구구성원의 수에 따라 정액급으로 지급하며, 가구구성원이 7인 이상인 경우, 1인 증가 시마다 225,400원씩 추가 ** 2021년부터 생계지원 금액에 냉방비 포함","거주지 읍/면/동 주민센터, 시군구에서 ‘서비스 신청’",보건복지부 콜센터,129,보건복지부 콜센터,http://www.129.go.kr,9,12,5,6
WLF00003182,산림서비스도우미,산림청 도시숲경관과,신청일 현재 만 18세 이상으로 산림분야의 사회서비스일자리사업 지침에 해당하는 분을 지원합니다.,"


숲생태관리인은 신청자가 많은 경우 취업취약계층, 부양가족수, 사업장소에서 근거리에 거주하는 자 또는 기존에 숲해설가, 숲생태관리인 활동 경력자 순으로 선발합니다.
숲길등산지도사는 지정된 산림교육 전문가 양성기관에서 숲길체험지도사 전문과정을 이수한 자(기존 숲길안내인 교육 이수자 포함, 등산학교의 등산교육 이수자 또는 산림 관련 대학 졸업자, 산림분야 자격증 소지자, 관련업무 경험자 및 GPS 기기 활용 가능자 등)를 대상으로 선발합니다.
산림휴양서비스매니저는 취업취약계층을 우선선발하며, 신청자가 많을 경우 부양가족 수, 사업 장소에서 근거리에 거주하는 자 순으로 선발합니다.
도시녹지관리원은 아래와 같은 자격을 갖추어야 선발합니다.

산림분야(조경 포함) 자격증 소지자, 임업훈련기관에서 기술교육을 이수한 자
임업 조경관련 고등학교 이상 졸업자(졸업 예정자 포함)
관련업종에 종사한 경력이 1년 이상인 자(영림단, 숲가꾸기 공공근로 등 경력자 포함)
기타 도시녹지관리원 활동에 적합하다고 인정하는 자


명상숲코디네이터는 아래와 같은 자격을 갖추어야 선발합니다.

국가기술자격법에 의한 산림, 조경, 식물분야 자격증 소지자로 해당 업종에서 2년 이상 근무경험이 있는 자
산림 및 명상숲 관련 업무에 2년 이상 종사하였거나 전문대학 이상 관련학과를 졸업한 자
기타 명상숲코디네이터 활동에 적합하다고 인정하는 자


수목원코디네이터는 아래와 같은 자격을 갖추어야 선발합니다.

국가기술자격법에 의한 산림, 식물분야 자격증 소지자
전문대학 이상의 관련학과(산림자원학, 조경학, 원예학, 식물학 등)를 졸업한 자
산림분야 또는 수목원/식물원에서 식물의 조성,관리 분야에서 2년 이상 종사한 자
기타 수목원코디네이터 활동에 적합하다고 인정하는 자






","인부임금으로 산림서비스 도우미에게 68,720원/일(도시녹지관리원, 수목원코디네이터, 숲생태관리인, 숲길등산지도사, 명상숲코디네이터, 산림휴양서비스매니저)을 지급합니다.
일급, 주급 또는 월급 형태로 지급이 가능하며, 사업참여자의 개인 통장에 입금하는 것을 원칙으로 합니다.
4대보험료(국민연금, 산재/고용/건강보험료)를 지급합니다.

사용자가 4대 보험(자치단체장 등)에 의무적으로 가입하도록 조치(참여자의 본인부담금을 공제한 후에 임금 지급)
사회복지정책 확대 일환으로 시행하고 있는 4대 보험 가입의 불가피성 및 보험료 공제를 사전에 홍보, 4대보험 사업장 가입신고 및 보험료 납부절차 등은 관련기관을 통해 처리


교육훈련비를 지급합니다.

교육훈련 기간 중의 임금은 부대경비를 제외한 인부 임금을 지급
교육생에게 여비(교통비, 숙박비, 일비 등)를 지급
교육훈련비는 사업시행기관에서 교육훈련기관에 직접 지급","거주지 읍/면/동 주민센터, 에서 ‘서비스 신청’",산림품종관리센터 종묘관리과,043-850-3345,산림품종관리센터 종묘관리과,,9,12,5,6
