welfarefamily_welfare_id,welfarefamily_family_id
1,0
1,6
1,10
1,11
2,12
3,0
3,11
4,5
5,5
6,4
7,0
7,11
8,2
8,6
8,7
9,10
9,12
10,1
10,4
11,3
12,2
12,4
12,7
12,8
13,2
13,7
14,11
15,4
16,6
16,7
17,7
18,5
18,10
19,2
19,6
19,11
20,7
21,3
22,1
22,12
23,1
23,12
24,1
24,12
25,5
26,12
27,2
27,12
28,0
28,6
28,7
29,0
30,12
31,1
32,6
33,7
33,11
34,2
34,8
35,7
35,10
35,11
36,6
37,1
37,4
37,7
37,8
37,11
38,7
38,10
39,1
39,4
40,1
40,4
41,2
41,8
42,12
43,12
44,7
45,2
46,6
47,7
48,5
49,8
49,12
50,5
51,6
51,7
52,7
52,10
53,6
54,8
54,12
55,7
56,1
56,2
56,12
57,5
58,12
59,10
59,12
60,6
61,6
61,7
61,8
61,10
61,11
62,6
63,7
63,11
63,6
64,12
65,6
65,7
65,11
66,12
67,7
67,11
68,4
68,12
WLF00000022,12
WLF00000023,12
WLF00000024,12
WLF00000026,6
WLF00000027,6
WLF00000028,12
WLF00000030,12
WLF00000031,12
WLF00000032,12
WLF00000033,12
WLF00000034,12
WLF00000035,12
WLF00000036,12
WLF00000037,12
WLF00000038,12
WLF00000040,7
WLF00000041,12
WLF00000043,5
WLF00000044,12
WLF00000045,6
WLF00000046,12
WLF00000047,12
WLF00000048,5
WLF00000049,7
WLF00000050,5
WLF00000051,5
WLF00000052,12
WLF00000053,7
WLF00000054,5
WLF00000055,7
WLF00000056,7
WLF00000057,12
WLF00000058,12
WLF00000059,12
WLF00000060,7
WLF00000061,7
WLF00000062,4
WLF00000062,5
WLF00000062,3
WLF00000062,6
WLF00000062,7
WLF00000062,8
WLF00000063,3
WLF00000064,12
WLF00000065,7
WLF00000065,6
WLF00000066,6
WLF00000067,7
WLF00000067,6
WLF00000068,12
WLF00000069,12
WLF00000070,12
WLF00000071,12
WLF00000072,7
WLF00000072,8
WLF00000073,12
WLF00000074,8
