welfarelife_welfare_id,welfarelife_life_id
1,0
1,1
1,2
1,3
1,4
1,5
2,3
3,0
3,1
3,2
3,3
3,4
3,5
4,0
4,1
4,2
4,3
4,4
4,5
5,0
5,1
5,2
5,3
5,4
5,5
6,0
6,1
6,2
6,3
6,4
6,5
7,4
7,5
8,1
9,5
10,3
10,4
11,3
11,4
12,1
13,1
14,0
14,1
14,2
14,3
14,4
14,5
15,0
15,1
15,2
15,3
15,4
15,5
16,0
16,1
16,2
16,3
16,4
16,5
17,0
18,5
19,0
19,1
19,2
19,3
19,4
19,5
20,0
20,1
20,2
20,3
20,4
20,5
21,0
21,1
21,2
21,3
21,4
21,5
22,0
22,1
22,2
22,3
22,4
22,5
23,0
23,1
23,2
23,3
23,4
23,5
24,0
24,1
24,2
24,3
24,4
24,5
25,5
26,0
26,1
26,2
26,3
26,4
26,5
27,1
28,0
28,1
28,2
28,3
28,4
28,5
29,0
29,1
29,2
29,3
29,4
29,5
30,4
30,5
31,3
32,3
32,4
32,5
33,3
33,4
33,5
34,1
34,2
35,3
35,4
35,5
36,3
37,3
38,5
39,0
40,0
41,1
41,2
42,3
42,4
43,3
43,4
44,2
44,3
44,4
44,5
45,0
45,1
46,0
46,1
46,2
46,3
46,4
46,5
47,0
47,1
47,2
47,3
47,4
47,5
48,0
48,1
48,2
48,3
48,4
48,5
49,0
49,1
50,1
50,2
50,3
50,4
50,5
51,0
51,1
51,2
51,3
51,4
51,5
52,4
52,5
53,0
53,1
53,2
53,3
53,4
53,5
54,1
54,2
55,3
55,4
55,5
56,0
56,3
56,4
57,0
57,1
57,2
57,3
57,4
57,5
58,2
58,3
58,4
59,4
59,5
60,1
60,2
60,3
60,4
60,5
61,1
61,2
61,3
61,4
61,5
62,3
62,4
62,5
63,0
63,1
63,2
63,3
63,4
63,5
64,0
64,1
65,0
65,1
65,2
66,3
66,4
67,0
67,1
67,2
67,3
67,4
67,5
68,0
68,1
68,2
68,3
68,4
68,5
WLF00000022,6
WLF00000023,6
WLF00000024,1
WLF00000024,2
WLF00000024,0
WLF00000026,3
WLF00000026,5
WLF00000026,4
WLF00000027,5
WLF00000027,4
WLF00000027,3
WLF00000027,2
WLF00000028,0
WLF00000028,2
WLF00000030,0
WLF00000031,3
WLF00000031,2
WLF00000031,4
WLF00000031,5
WLF00000032,2
WLF00000033,5
WLF00000034,6
WLF00000035,6
WLF00000036,6
WLF00000037,6
WLF00000038,6
WLF00000040,6
WLF00000041,6
WLF00000043,6
WLF00000044,6
WLF00000045,6
WLF00000046,6
WLF00000047,6
WLF00000048,6
WLF00000049,6
WLF00000050,5
WLF00000050,4
WLF00000051,6
WLF00000052,6
WLF00000053,6
WLF00000054,6
WLF00000055,4
WLF00000055,5
WLF00000055,3
WLF00000055,2
WLF00000055,1
WLF00000056,6
WLF00000057,6
WLF00000058,6
WLF00000059,6
WLF00000060,6
WLF00000062,6
WLF00000063,6
WLF00000064,6
WLF00000065,4
WLF00000065,5
WLF00000065,2
WLF00000065,3
WLF00000066,6
WLF00000067,6
WLF00000068,6
WLF00000069,6
WLF00000070,6
WLF00000071,6
WLF00000072,6
WLF00000073,6
WLF00000074,6
WLF00000075,6
WLF00000076,1
WLF00000076,2
WLF00000076,0
WLF00000077,6
WLF00000078,3
WLF00000078,1
WLF00000078,2
WLF00000086,6
WLF00000087,6
WLF00000088,6
WLF00000089,1
WLF00000089,2
WLF00000090,6
WLF00000091,6
WLF00000092,0
WLF00000093,6
WLF00000094,6
WLF00000095,6
WLF00000096,6
WLF00000097,6
WLF00000098,6
WLF00000099,6
WLF00000100,6
WLF00000101,6
WLF00000102,6
WLF00000103,6
WLF00000104,6
WLF00000747,6
WLF00000748,6
WLF00000750,6
WLF00000751,2
WLF00000751,1
WLF00000751,3
WLF00000781,2
WLF00000782,6
WLF00000807,6
WLF00000812,6
WLF00000814,6
WLF00000815,6
WLF00000837,6
WLF00000838,6
WLF00000842,6
WLF00000864,6
WLF00000867,6
WLF00000888,6
WLF00000892,6
WLF00000896,6
WLF00000917,6
WLF00000921,6
WLF00000922,6
WLF00000923,6
WLF00000946,6
WLF00000948,3
WLF00000948,2
WLF00000948,1
WLF00000968,6
WLF00000969,2
WLF00000969,0
WLF00000975,6
WLF00000998,6
WLF00001020,2
WLF00001020,3
WLF00001021,6
WLF00001026,2
WLF00001026,3
WLF00001059,6
WLF00001060,6
WLF00001061,6
WLF00001062,6
WLF00001063,6
WLF00001064,6
WLF00001065,6
WLF00001066,5
WLF00001067,0
WLF00001067,1
WLF00001068,6
WLF00001069,6
WLF00001070,3
WLF00001070,4
WLF00001070,5
WLF00001071,6
WLF00001072,6
WLF00001073,6
WLF00001074,6
WLF00001075,6
WLF00001076,6
WLF00001077,6
WLF00001078,6
WLF00001079,6
WLF00001080,6
WLF00001081,1
WLF00001081,0
WLF00001081,2
WLF00001082,6
WLF00001083,6
WLF00001084,6
WLF00001085,6
WLF00001086,6
WLF00001087,3
WLF00001087,1
WLF00001087,2
WLF00001088,6
WLF00001089,6
WLF00001090,6
WLF00001091,6
WLF00001092,6
WLF00001093,6
WLF00001094,6
WLF00001095,6
WLF00001096,6
WLF00001097,6
WLF00001098,6
WLF00001099,6
WLF00001100,6
WLF00001101,6
WLF00001102,6
WLF00001103,6
WLF00001104,6
WLF00001105,6
WLF00001106,6
WLF00001107,1
WLF00001107,2
WLF00001108,4
WLF00001108,5
WLF00001109,1
WLF00001109,3
WLF00001109,2
WLF00001110,6
WLF00001111,5
WLF00001111,4
WLF00001112,6
WLF00001113,6
WLF00001114,1
WLF00001114,2
WLF00001114,3
WLF00001115,5
WLF00001116,6
WLF00001117,6
WLF00001118,6
WLF00001119,5
WLF00001119,4
WLF00001119,0
WLF00001119,1
WLF00001119,3
WLF00001120,6
WLF00001121,1
WLF00001121,2
WLF00001121,0
WLF00001122,6
WLF00001123,3
WLF00001123,5
WLF00001123,4
WLF00001124,6
WLF00001125,6
WLF00001126,6
WLF00001127,6
WLF00001128,6
WLF00001129,1
WLF00001129,3
WLF00001129,2
WLF00001130,0
WLF00001131,6
WLF00001132,6
WLF00001133,6
WLF00001134,6
WLF00001135,6
WLF00001136,6
WLF00001137,6
WLF00001138,3
WLF00001138,4
WLF00001138,5
WLF00001139,6
WLF00001140,2
WLF00001141,2
WLF00001141,1
WLF00001141,3
WLF00001142,6
WLF00001143,2
WLF00001143,3
WLF00001143,4
WLF00001144,4
WLF00001144,5
WLF00001144,2
WLF00001144,3
WLF00001144,0
WLF00001145,1
WLF00001145,2
WLF00001146,2
WLF00001146,3
WLF00001147,0
WLF00001148,3
WLF00001148,5
WLF00001148,4
WLF00001149,4
WLF00001149,5
WLF00001149,3
WLF00001150,6
WLF00001151,3
WLF00001151,4
WLF00001151,5
WLF00001152,4
WLF00001152,5
WLF00001152,3
WLF00001153,2
WLF00001153,3
WLF00001153,5
WLF00001153,4
WLF00001154,6
WLF00001155,6
WLF00001156,6
WLF00001157,5
WLF00001157,4
WLF00001157,3
WLF00001157,2
WLF00001158,5
WLF00001159,6
WLF00001160,6
WLF00001161,6
WLF00001162,6
WLF00001163,6
WLF00001164,5
WLF00001165,5
WLF00001165,4
WLF00001165,3
WLF00001166,6
WLF00001168,6
WLF00001169,6
WLF00001171,1
WLF00001171,0
WLF00001171,2
WLF00001173,6
WLF00001174,6
WLF00001175,6
WLF00001176,6
WLF00001177,6
WLF00001178,2
WLF00001178,1
WLF00001179,5
WLF00001179,4
WLF00001180,6
WLF00001181,5
WLF00001182,6
WLF00001183,0
WLF00001184,6
WLF00001185,6
WLF00001186,6
WLF00001187,6
WLF00001188,6
WLF00003168,6
WLF00003169,6
WLF00003170,6
WLF00003171,6
WLF00003172,6
WLF00003173,4
WLF00003173,3
WLF00003173,2
WLF00003174,6
WLF00003175,6
WLF00003176,6
WLF00003177,2
WLF00003178,6
WLF00003179,6
WLF00003180,6
WLF00003181,6
WLF00003182,6
WLF00003183,6
WLF00003184,6
WLF00003185,1
WLF00003185,2
WLF00003186,6
WLF00003187,1
WLF00003187,3
WLF00003187,2
WLF00003188,1
WLF00003188,2
WLF00003189,6
WLF00003190,6
WLF00003191,5
WLF00003192,6
WLF00003193,6
WLF00003194,6
WLF00003195,0
WLF00003195,2
WLF00003195,1
WLF00003196,6
WLF00003197,6
WLF00003198,6
WLF00003199,6
WLF00003200,2
WLF00003200,3
WLF00003200,1
WLF00003201,6
WLF00003202,6
WLF00003203,6
WLF00003204,2
WLF00003204,1
WLF00003204,3
WLF00003205,5
WLF00003205,4
WLF00003206,6
WLF00003207,6
WLF00003208,6
WLF00003209,6
WLF00003210,6
WLF00003211,6
WLF00003212,6
WLF00003213,5
WLF00003213,1
WLF00003213,0
WLF00003213,2
WLF00003214,3
WLF00003214,5
WLF00003214,4
WLF00003215,6
WLF00003216,6
WLF00003217,6
WLF00003218,6
WLF00003219,6
WLF00003220,6
WLF00003221,3
WLF00003221,2
WLF00003222,6
WLF00003223,6
WLF00003224,6
WLF00003225,6
WLF00003226,6
WLF00003227,6
WLF00003228,6
WLF00003229,6
WLF00003230,6
WLF00003231,6
WLF00003232,6
WLF00003233,5
WLF00003234,6
WLF00003235,1
WLF00003235,2
WLF00003235,0
WLF00003236,3
WLF00003236,1
WLF00003236,2
WLF00003237,0
WLF00003238,6
WLF00003239,6
WLF00003240,3
WLF00003240,5
WLF00003240,4
WLF00003241,4
WLF00003241,5
WLF00003242,1
WLF00003242,0
WLF00003242,2
WLF00003243,6
WLF00003244,6
WLF00003245,2
WLF00003245,3
WLF00003245,4
WLF00003245,5
WLF00003247,6
WLF00003248,6
WLF00003249,6
WLF00003250,0
WLF00003251,6
WLF00003252,5
WLF00003253,6
WLF00003254,2
WLF00003254,3
WLF00003254,1
WLF00003255,6
WLF00003256,6
WLF00003257,6
WLF00003258,6
WLF00003259,6
WLF00003260,2
WLF00003260,3
WLF00003260,1
WLF00003260,4
WLF00003261,6
WLF00003262,2
WLF00003262,0
WLF00003262,1
WLF00003263,2
WLF00003263,1
WLF00003264,6
WLF00003265,6
WLF00003266,6
WLF00003267,6
WLF00003268,6
WLF00003268,6
WLF00003269,6
WLF00003270,6
WLF00003271,6
WLF00003272,6
WLF00003273,6
WLF00003274,6
WLF00003275,6
WLF00003276,6
WLF00003277,3
WLF00003277,4
WLF00003277,5
WLF00003278,6
WLF00003279,6
WLF00003280,4
WLF00003280,5
WLF00003281,6
WLF00003282,1
WLF00003282,0
WLF00003282,2
WLF00003283,1
WLF00003283,2
WLF00003283,0
WLF00004647,6
WLF00004648,6
WLF00004649,6
WLF00004650,1
WLF00004650,2
WLF00004651,2
WLF00004651,3
WLF00004651,5
WLF00004651,4
WLF00004654,6
WLF00004655,6
WLF00004657,0
