welfaretarget_welfare_id,welfaretarget_target_id
1,5
2,4
3,5
4,5
5,5
6,5
7,1
8,0
9,5
10,5
11,5
12,0
13,0
13,5
14,1
14,5
15,5
16,5
17,5
18,5
19,5
20,5
21,5
22,5
23,5
24,5
25,5
26,5
27,5
28,5
29,5
30,5
31,5
32,5
33,5
34,0
35,5
36,5
37,5
38,5
39,5
40,5
41,0
42,5
43,5
44,5
45,5
46,5
47,5
48,5
49,5
50,5
51,5
52,5
53,5
54,0
54,5
55,5
56,5
57,5
58,0
58,1
59,5
60,5
61,5
62,2
62,3
62,4
62,5
63,0
63,1
63,4
63,5
64,5
65,0
66,1
67,1
67,4
68,5
WLF00000022,5
WLF00000023,3
WLF00000024,5
WLF00000026,5
WLF00000027,5
WLF00000028,5
WLF00000030,5
WLF00000031,5
WLF00000032,5
WLF00000033,5
WLF00000034,5
WLF00000035,5
WLF00000036,5
WLF00000037,5
WLF00000038,5
WLF00000040,5
WLF00000041,3
WLF00000043,5
WLF00000044,4
WLF00000045,1
WLF00000046,5
WLF00000047,5
WLF00000048,5
WLF00000049,5
WLF00000050,5
WLF00000051,5
WLF00000052,0
WLF00000053,3
WLF00000054,0
WLF00000055,5
WLF00000056,5
WLF00000057,5
WLF00000058,2
WLF00000059,4
WLF00000060,5
WLF00000061,5
WLF00000062,5
WLF00000063,0
WLF00000064,5
WLF00000065,5
WLF00000066,5
WLF00000067,5
WLF00000068,5
WLF00000069,5
WLF00000070,1
WLF00000071,1
WLF00000072,5
WLF00000073,0
WLF00000074,5
WLF00000075,2
WLF00000076,0
WLF00000077,5
WLF00000078,0
WLF00000086,0
WLF00000087,5
WLF00000088,5
WLF00000089,5
WLF00000090,0
WLF00000091,5
WLF00000092,5
WLF00000093,4
WLF00000094,0
WLF00000095,4
WLF00000096,1
WLF00000097,5
WLF00000098,5
WLF00000099,5
WLF00000100,4
WLF00000101,5
WLF00000102,5
WLF00000103,5
WLF00000104,5
WLF00000747,5
WLF00000748,5
WLF00000750,5
WLF00000751,0
WLF00000781,5
WLF00000782,5
WLF00000807,5
WLF00000812,0
WLF00000812,3
WLF00000814,5
WLF00000815,5
WLF00000837,5
WLF00000838,5
WLF00000842,5
WLF00000864,1
WLF00000867,0
WLF00000888,5
WLF00000892,5
WLF00000896,5
WLF00000917,5
WLF00000921,5
WLF00000922,1
WLF00000922,2
WLF00000923,5
WLF00000946,5
WLF00000948,0
WLF00000968,5
WLF00000969,5
WLF00000975,1
WLF00000975,2
WLF00000998,5
WLF00001020,4
WLF00001021,5
WLF00001026,0
WLF00001059,5
WLF00001060,0
WLF00001061,5
WLF00001062,5
WLF00001063,4
WLF00001063,5
WLF00001064,5
WLF00001065,5
WLF00001066,5
