welfarefamily_welfare_id,welfarefamily_family_id,welfare_id
1,0,1
1,6,1
1,10,1
1,11,1
2,12,2
3,0,3
3,11,3
4,5,4
5,5,5
6,4,6
7,0,7
7,11,7
8,2,8
8,6,8
8,7,8
9,10,9
9,12,9
10,1,10
10,4,10
11,3,11
12,2,12
12,4,12
12,7,12
12,8,12
13,2,13
13,7,13
14,11,14
15,4,15
16,6,16
16,7,16
17,7,17
18,5,18
18,10,18
19,2,19
19,6,19
19,11,19
20,7,20
21,3,21
22,1,22
22,12,22
23,1,23
23,12,23
24,1,24
24,12,24
25,5,25
26,12,26
27,2,27
27,12,27
28,0,28
28,6,28
28,7,28
29,0,29
30,12,30
31,1,31
32,6,32
33,7,33
33,11,33
34,2,34
34,8,34
35,7,35
35,10,35
35,11,35
36,6,36
37,1,37
37,4,37
37,7,37
37,8,37
37,11,37
38,7,38
38,10,38
39,1,39
39,4,39
40,1,40
40,4,40
41,2,41
41,8,41
42,12,42
43,12,43
44,7,44
45,2,45
46,6,46
47,7,47
48,5,48
49,8,49
49,12,49
50,5,50
51,6,51
51,7,51
52,7,52
52,10,52
53,6,53
54,8,54
54,12,54
55,7,55
56,1,56
56,2,56
56,12,56
57,5,57
58,12,58
59,10,59
59,12,59
60,6,60
61,6,61
61,7,61
61,8,61
61,10,61
61,11,61
62,6,62
63,7,63
63,11,63
63,6,63
64,12,64
65,6,65
65,7,65
65,11,65
66,12,66
67,7,67
67,11,67
68,4,68
68,12,68
WLF00000022,12,69
WLF00000023,12,70
WLF00000024,12,71
WLF00000026,6,73
WLF00000027,6,74
WLF00000028,12,75
WLF00000030,12,76
WLF00000031,12,77
WLF00000032,12,78
WLF00000033,12,79
WLF00000034,12,80
WLF00000035,12,81
WLF00000036,12,82
WLF00000037,12,83
WLF00000038,12,84
WLF00000040,7,85
WLF00000041,12,86
WLF00000043,5,87
WLF00000044,12,88
WLF00000045,6,89
WLF00000046,12,90
WLF00000047,12,91
WLF00000048,5,92
WLF00000049,7,93
WLF00000050,5,94
WLF00000051,5,95
WLF00000052,12,96
WLF00000053,7,97
WLF00000054,5,98
WLF00000055,7,99
WLF00000056,7,100
WLF00000057,12,101
WLF00000058,12,102
WLF00000059,12,103
WLF00000060,7,104
WLF00000061,7,105
WLF00000062,4,106
WLF00000062,5,106
WLF00000062,3,106
WLF00000062,6,106
WLF00000062,7,106
WLF00000062,8,106
WLF00000063,3,107
WLF00000064,12,108
WLF00000065,7,109
WLF00000065,6,109
WLF00000066,6,110
WLF00000067,7,111
WLF00000067,6,111
WLF00000068,12,112
WLF00000069,12,113
WLF00000070,12,114
WLF00000071,12,115
WLF00000072,7,116
WLF00000072,8,116
WLF00000073,12,117
WLF00000074,8,118
WLF00000074,7,118
WLF00000075,12,119
WLF00000076,7,120
WLF00000076,8,120
WLF00000077,12,121
WLF00000078,12,122
WLF00000086,3,123
WLF00000087,12,124
WLF00000088,12,125
WLF00000089,12,126
WLF00000090,12,127
WLF00000091,8,128
WLF00000092,8,129
WLF00000092,7,129
WLF00000093,12,130
WLF00000094,12,131
WLF00000095,12,132
WLF00000096,12,133
WLF00000097,5,134
WLF00000098,5,135
WLF00000099,6,136
WLF00000100,7,137
WLF00000100,4,137
WLF00000100,8,137
WLF00000101,5,138
WLF00000102,7,139
WLF00000103,12,140
WLF00000104,6,141
WLF00000747,12,142
WLF00000748,12,143
WLF00000750,5,144
WLF00000751,12,145
WLF00000781,7,146
WLF00000781,8,146
WLF00000782,3,147
WLF00000807,12,148
WLF00000812,12,149
WLF00000814,12,150
WLF00000815,12,151
WLF00000837,12,152
WLF00000838,12,153
WLF00000842,12,154
WLF00000864,12,155
WLF00000867,12,156
WLF00000888,12,157
WLF00000892,12,158
WLF00000896,12,159
WLF00000917,12,160
WLF00000921,3,161
WLF00000922,12,162
WLF00000923,7,163
WLF00000946,6,164
WLF00000946,7,164
WLF00000948,12,165
WLF00000968,5,166
WLF00000969,12,167
WLF00000975,12,168
WLF00000998,5,169
WLF00001020,3,170
WLF00001021,6,171
WLF00001026,12,172
WLF00001059,5,173
WLF00001060,12,174
WLF00001061,12,175
WLF00001062,6,176
WLF00001062,7,176
WLF00001063,12,177
WLF00001064,5,178
WLF00001065,5,179
WLF00001066,5,180
WLF00001067,12,181
WLF00001068,8,182
WLF00001069,12,183
WLF00001070,6,184
WLF00001071,12,185
WLF00001072,12,186
WLF00001073,12,187
WLF00001074,12,188
WLF00001075,12,189
WLF00001076,12,190
WLF00001077,12,191
WLF00001078,12,192
WLF00001079,12,193
WLF00001080,12,194
