welfarepurpose_welfare_id,welfarepurpose_purpose_id,welfare_id
1,1,1
2,0,2
3,8,3
4,7,4
5,4,5
6,6,6
7,5,7
7,8,7
8,6,8
9,5,9
10,2,10
10,6,10
11,2,11
11,7,11
12,6,12
13,3,13
14,5,14
15,2,15
16,2,16
16,8,16
17,2,17
18,8,18
19,2,19
19,5,19
20,2,20
21,2,21
22,3,22
23,1,23
23,7,23
25,9,25
26,3,26
27,3,27
27,6,27
28,6,28
28,9,28
29,6,29
30,5,30
31,2,31
32,2,32
33,2,33
34,2,34
35,5,35
36,3,36
37,2,37
38,2,38
39,6,39
40,6,40
41,5,41
42,1,42
43,3,43
44,2,44
44,8,44
45,6,45
46,2,46
46,5,46
47,3,47
48,8,48
49,5,49
49,6,49
50,2,50
51,2,51
51,5,51
51,8,51
52,2,52
52,3,52
52,5,52
52,8,52
53,2,53
54,5,54
54,6,54
55,2,55
56,3,56
57,2,57
57,3,57
58,0,58
58,2,58
59,2,59
59,8,59
60,2,60
60,5,60
61,1,61
61,2,61
61,8,61
62,5,62
63,3,63
65,2,65
66,8,66
67,2,67
67,8,67
68,6,68
WLF00000022,3,69
WLF00000022,4,69
WLF00000023,9,70
WLF00000024,6,71
WLF00000026,9,73
WLF00000027,2,74
WLF00000028,6,75
WLF00000030,6,76
WLF00000031,2,77
WLF00000032,8,78
WLF00000033,9,79
WLF00000034,6,80
WLF00000035,2,81
WLF00000036,1,82
WLF00000037,6,83
WLF00000038,9,84
WLF00000040,3,85
WLF00000041,3,86
WLF00000043,8,87
WLF00000044,3,88
WLF00000044,5,88
WLF00000044,6,88
WLF00000045,0,89
WLF00000046,2,90
WLF00000047,3,91
WLF00000048,1,92
WLF00000049,9,93
WLF00000050,8,94
WLF00000051,8,95
WLF00000052,6,96
WLF00000053,9,97
WLF00000054,6,98
WLF00000055,7,99
WLF00000056,3,100
WLF00000057,1,101
WLF00000058,9,102
WLF00000059,2,103
WLF00000060,9,104
WLF00000061,3,105
WLF00000062,1,106
WLF00000063,6,107
WLF00000064,4,108
WLF00000064,6,108
WLF00000065,5,109
WLF00000066,6,110
WLF00000067,3,111
WLF00000068,5,112
WLF00000069,5,113
WLF00000070,0,114
WLF00000071,0,115
WLF00000072,2,116
WLF00000073,6,117
WLF00000074,2,118
WLF00000075,6,119
WLF00000076,7,120
WLF00000077,3,121
WLF00000077,5,121
WLF00000078,2,122
WLF00000086,6,123
WLF00000087,8,124
WLF00000088,3,125
WLF00000088,5,125
