welfaretarget_welfare_id,welfaretarget_target_id,welfare_id
1,5,1
2,4,2
3,5,3
4,5,4
5,5,5
6,5,6
7,1,7
8,0,8
9,5,9
10,5,10
11,5,11
12,0,12
13,0,13
13,5,13
14,1,14
14,5,14
15,5,15
16,5,16
17,5,17
18,5,18
19,5,19
20,5,20
21,5,21
22,5,22
23,5,23
24,5,24
25,5,25
26,5,26
27,5,27
28,5,28
29,5,29
30,5,30
31,5,31
32,5,32
33,5,33
34,0,34
35,5,35
36,5,36
37,5,37
38,5,38
39,5,39
40,5,40
41,0,41
42,5,42
43,5,43
44,5,44
45,5,45
46,5,46
47,5,47
48,5,48
49,5,49
50,5,50
51,5,51
52,5,52
53,5,53
54,0,54
54,5,54
55,5,55
56,5,56
57,5,57
58,0,58
58,1,58
59,5,59
60,5,60
61,5,61
62,2,62
62,3,62
62,4,62
62,5,62
63,0,63
63,1,63
63,4,63
63,5,63
64,5,64
65,0,65
66,1,66
67,1,67
67,4,67
68,5,68
WLF00000022,5,69
WLF00000023,3,70
WLF00000024,5,71
WLF00000026,5,73
WLF00000027,5,74
WLF00000028,5,75
WLF00000030,5,76
WLF00000031,5,77
WLF00000032,5,78
WLF00000033,5,79
WLF00000034,5,80
WLF00000035,5,81
WLF00000036,5,82
WLF00000037,5,83
WLF00000038,5,84
WLF00000040,5,85
WLF00000041,3,86
WLF00000043,5,87
WLF00000044,4,88
WLF00000045,1,89
WLF00000046,5,90
WLF00000047,5,91
WLF00000048,5,92
WLF00000049,5,93
WLF00000050,5,94
WLF00000051,5,95
WLF00000052,0,96
WLF00000053,3,97
WLF00000054,0,98
WLF00000055,5,99
WLF00000056,5,100
WLF00000057,5,101
WLF00000058,2,102
WLF00000059,4,103
WLF00000060,5,104
WLF00000061,5,105
WLF00000062,5,106
WLF00000063,0,107
WLF00000064,5,108
WLF00000065,5,109
WLF00000066,5,110
WLF00000067,5,111
WLF00000068,5,112
WLF00000069,5,113
WLF00000070,1,114
WLF00000071,1,115
WLF00000072,5,116
WLF00000073,0,117
WLF00000074,5,118
WLF00000075,2,119
WLF00000076,0,120
WLF00000077,5,121
WLF00000078,0,122
WLF00000086,0,123
WLF00000087,5,124
WLF00000088,5,125
WLF00000089,5,126
WLF00000090,0,127
WLF00000091,5,128
WLF00000092,5,129
WLF00000093,4,130
WLF00000094,0,131
WLF00000095,4,132
WLF00000096,1,133
WLF00000097,5,134
WLF00000098,5,135
WLF00000099,5,136
WLF00000100,4,137
WLF00000101,5,138
WLF00000102,5,139
WLF00000103,5,140
WLF00000104,5,141
WLF00000747,5,142
WLF00000748,5,143
WLF00000750,5,144
WLF00000751,0,145
WLF00000781,5,146
WLF00000782,5,147
WLF00000807,5,148
WLF00000812,0,149
WLF00000812,3,149
WLF00000814,5,150
WLF00000815,5,151
WLF00000837,5,152
WLF00000838,5,153
