1 :: [2, 60, 62, 3, 4, 13, 28, 52, 81, 88]
2 :: [171, 236, 251, 262, 265, 57, 41, 42, 65, 376]
3 :: [28, 285, 60, 13, 6, 382, 142, 92, 50, 43]
4 :: [4, 49, 47, 134, 24, 172, 179, 177, 244, 91]
5 :: [3, 49, 47, 24, 134, 177, 91, 179, 334, 374]
6 :: [67, 14, 3, 4, 23, 28, 79, 82, 95, 97]
7 :: [13, 2, 29, 60, 34, 8, 51, 50, 43, 206]
8 :: [393, 12, 11, 180, 420, 64, 135, 126, 26, 70]
9 :: [29, 291, 6, 58, 34, 199, 37, 80, 383, 125]
10 :: [39, 30, 38, 14, 67, 21, 248, 147, 22, 35]
11 :: [20, 32, 306, 151, 323, 227, 269, 54, 319, 160]
12 :: [12, 40, 7, 358, 242, 216, 414, 26, 128, 33]
13 :: [11, 243, 26, 295, 359, 369, 7, 378, 194, 110]
14 :: [18, 2, 6, 142, 382, 34, 19, 59, 379, 153]
15 :: [9, 67, 39, 30, 21, 248, 38, 22, 409, 147]
16 :: [19, 50, 348, 45, 340, 59, 18, 43, 388, 117]
17 :: [329, 18, 19, 12, 15, 307, 340, 64, 388, 98]
18 :: [58, 37, 383, 78, 291, 206, 51, 93, 228, 179]
19 :: [19, 307, 388, 13, 117, 342, 34, 50, 98, 140]
20 :: [15, 18, 340, 117, 307, 388, 241, 50, 32, 329]
21 :: [151, 306, 323, 10, 319, 293, 296, 263, 227, 211]
22 :: [67, 38, 39, 22, 14, 9, 147, 248, 409, 25]
23 :: [21, 14, 23, 147, 67, 28, 248, 81, 176, 9]
24 :: [22, 28, 79, 21, 55, 404, 52, 14, 196, 125]
25 :: [179, 4, 3, 49, 47, 134, 91, 177, 334, 113]
26 :: [187, 85, 182, 295, 246, 212, 110, 403, 21, 120]
27 :: [12, 194, 423, 33, 413, 53, 414, 11, 40, 389]
28 :: [28, 241, 19, 50, 69, 216, 34, 375, 140, 384]
29 :: [2, 27, 285, 196, 89, 81, 153, 22, 375, 25]
30 :: [8, 6, 13, 357, 282, 403, 199, 422, 205, 334]
31 :: [9, 39, 35, 38, 14, 21, 248, 22, 147, 67]
32 :: [361, 113, 91, 192, 351, 372, 420, 278, 240, 73]
33 :: [43, 34, 19, 54, 307, 66, 50, 322, 327, 340]
34 :: [40, 413, 119, 125, 26, 414, 423, 53, 389, 64]
35 :: [32, 18, 13, 51, 371, 50, 322, 19, 98, 27]
36 :: [30, 409, 21, 9, 38, 39, 14, 104, 391, 67]
37 :: [30, 9, 32, 16, 35, 14, 34, 38, 39, 31]
38 :: [58, 17, 291, 383, 51, 228, 78, 60, 34, 289]
39 :: [39, 67, 9, 21, 30, 14, 248, 147, 35, 22]
40 :: [38, 9, 67, 30, 14, 21, 248, 147, 22, 35]
41 :: [53, 33, 220, 11, 48, 389, 414, 242, 125, 354]
42 :: [221, 417, 89, 375, 81, 352, 100, 343, 189, 60]
43 :: [286, 212, 56, 287, 110, 246, 55, 79, 387, 294]
44 :: [66, 50, 32, 54, 307, 19, 51, 15, 60, 340]
45 :: [63, 260, 166, 381, 423, 207, 276, 82, 153, 253]
46 :: [59, 175, 391, 50, 15, 73, 142, 268, 57, 108]
47 :: [96, 212, 85, 210, 287, 294, 399, 201, 295, 110]
