welfarefamily_family_id,welfare_id
0,1
6,1
10,1
11,1
12,2
0,3
11,3
5,4
5,5
4,6
0,7
11,7
2,8
6,8
7,8
10,9
12,9
1,10
4,10
3,11
2,12
4,12
7,12
8,12
2,13
7,13
11,14
4,15
6,16
7,16
7,17
5,18
10,18
2,19
6,19
11,19
7,20
3,21
1,22
12,22
1,23
12,23
1,24
12,24
5,25
12,26
2,27
12,27
0,28
6,28
7,28
0,29
12,30
1,31
6,32
7,33
11,33
2,34
8,34
7,35
10,35
11,35
6,36
1,37
4,37
7,37
8,37
11,37
7,38
10,38
1,39
4,39
1,40
4,40
2,41
8,41
12,42
12,43
7,44
2,45
6,46
7,47
5,48
8,49
12,49
5,50
6,51
7,51
7,52
10,52
6,53
8,54
12,54
7,55
1,56
2,56
12,56
5,57
12,58
10,59
12,59
6,60
6,61
7,61
8,61
10,61
11,61
6,62
7,63
11,63
6,63
12,64
6,65
7,65
11,65
12,66
7,67
11,67
4,68
12,68
1,69
2,70
3,70
4,70
5,70
2,71
3,71
4,71
5,71
2,72
3,72
4,72
5,72
2,73
3,73
4,73
5,73
2,74
3,74
4,74
5,74
2,75
3,75
4,75
5,75
2,76
3,76
4,76
5,76
2,77
3,77
4,77
5,77
2,78
3,78
4,78
5,78
2,79
3,79
4,79
5,79
2,80
3,80
4,80
5,80
2,81
3,81
4,81
5,81
2,82
3,82
4,82
5,82
2,83
3,83
4,83
5,83
2,84
3,84
4,84
5,84
2,85
3,85
4,85
5,85
2,86
3,86
4,86
5,86
2,87
3,87
4,87
5,87
2,88
3,88
4,88
5,88
2,89
3,89
4,89
5,89
2,90
3,90
4,90
5,90
2,91
3,91
4,91
5,91
2,92
3,92
4,92
5,92
2,93
3,93
4,93
2,94
3,94
4,94
5,94
2,95
3,95
4,95
2,96
3,96
4,96
5,96
2,97
3,97
4,97
5,97
2,98
3,98
4,98
5,98
2,99
3,99
4,99
5,99
2,100
3,100
4,100
5,100
5,101
1,102
2,102
3,102
4,102
5,102
1,103
2,103
3,103
4,103
5,103
1,104
2,104
3,104
4,104
5,104
2,105
3,105
4,105
5,105
2,106
3,106
4,106
5,106
1,107
2,107
1,108
2,108
2,109
2,110
3,110
4,110
5,110
2,111
3,111
4,111
5,112
1,113
2,114
3,114
4,114
1,115
2,115
5,116
1,117
2,117
3,117
4,117
5,117
5,118
5,119
1,120
2,120
3,120
4,120
5,120
1,121
2,121
3,121
4,121
5,121
2,122
3,122
4,122
5,122
1,123
2,123
3,123
4,123
5,123
5,124
2,125
3,125
4,125
1,126
2,126
1,127
5,128
2,129
3,129
4,129
5,129
1,130
2,130
1,131
2,131
3,131
4,131
5,131
2,132
3,132
4,132
1,133
2,133
3,133
4,133
5,133
1,134
2,134
3,134
4,134
5,134
1,135
2,135
3,135
4,135
5,135
1,136
2,136
5,137
2,138
3,138
4,138
5,138
1,139
2,139
3,139
4,139
5,139
1,140
2,140
3,140
4,140
5,140
1,141
2,141
3,141
4,141
5,141
2,142
2,143
3,143
4,143
5,143
2,144
3,144
4,144
5,144
1,145
2,145
3,145
4,145
5,145
2,146
3,146
4,146
5,146
2,147
3,147
4,147
5,147
2,148
3,148
4,148
5,148
2,149
3,149
4,149
5,149
2,150
3,150
4,150
5,150
2,151
3,151
4,151
5,151
2,152
3,152
4,152
5,152
1,153
2,153
3,153
4,153
5,153
2,154
3,154
4,154
5,154
2,155
3,155
4,155
5,155
2,156
2,157
3,157
4,157
5,157
2,158
3,158
4,158
5,158
5,159
2,160
3,160
4,160
5,160
2,161
3,161
4,161
5,161
2,162
3,162
4,162
5,162
2,163
3,163
4,163
5,163
2,164
3,164
4,164
5,164
2,165
3,165
4,165
5,165
2,166
3,166
4,166
5,166
2,167
3,167
4,167
2,168
3,168
4,168
5,168
2,169
